Spell Name,Action (Concentration),Duration,Save,Effect,Upcast,Cleric Spell List,Druid Spell List,Sorcerer Spell List,Warlock Spell List,Wizard Spell List,Source
Burning Hands,Action,1 turn (prone),DEX,Deal 1d12+4 fire dmg in a 3m AOE cone. Affected creatures are thrown backward by 3m and forced Prone. On Save: Half damage,Deal 1d12+4 dmg/level,,,,X,X,
Call Lightning,Action (C),Until Long Rest,DEX,"Deal 1d6+4 lightning dmg to all creatures in a small AOE, then do it again as a free action every round",Deal 1d6+4 dmg/level,X,,X,,,
Calm Emotions,Bonus (C),Until Long Rest,No save,"Prevents a HUMANOID from being Charmed, Confused, Dominated, Enraged, Frightened or Inebriated",Select +1 target/level,X,,X,,,
Catnap,Action,3 Turn,,"Make an ally sleep for 3 turn, then it gains a short rest. Can't target the same ally twice until long rest",No upcasting,,X,X,,,
Cause Fear,Action,1 turn,WIS,"Frighten a creature, 18m range",Select +1 target/level,,,X,X,,
Chain Lightning,Action,,DEX,"Deal 1d6+4 lightning dmg on target, 18m range, then swap to all other targets in range for same dmg",Deal 1d6+4 dmg/level,X,,X,,,
Charm,Bonus,Until Long Rest,WIS,Target creature can't attack you and you have advantage on Charisma when speaking with them,Select +1 target/level,,X,X,,,
Chromatic Orb,Action,,,"Deal 1D12+4 dmg of an element of your choice, 18m range",Deal 1d12+4 dmg/level,,,X,,X,
Circle of Death,Action,,CON,Deal 1d6+4 necrotic damage in a very large AOE,Deal 1d6+4 dmg/level,X,,,X,,
Cloud of Daggers,Action,3 turns,No save,Deal 1d12 slashing dmg in a 3m AOE,Deal 1d12 dmg/level and +1 cloud/level (damage doesn't stack),,,,X,X,
Cloudkill,Action (C),Until Long Rest,CON (partial),Deal 1d6 poison damage in an AOE around a target and Poison (no save) targets within. Also Heavily Obscure targets. On Save: half damage,Deal 1d6 dmg/level and +1 cloud/level (damage stack),X,X,,,,
Colour Spray,Bonus,3 turns,CON,Blind all targets in a 3m cone AOE,Increase range by 3m/level,,,X,,X,
Command,Action,1 turn,WIS,"Command a creature to approach, drop their weapon, flee, grovel or halt",Select +1 target/level,X,,,X,,
Compelled Duel,Bonus,3 turns,WIS,"Force a creature to attack only you, 18m range",Select +1 target/level,X,,,X,,
Cone of Cold,Action,,CON,Deal 1d6+4 cold dmg in a 9m cone AOE On Save: Half damage,Deal 1d6+4 dmg/level,,X,,,X,
Confusion,Action,3 turns,WIS,The target skip their turn. Save at the end of every round and when taking dmg,Select +1 target/level,,,X,X,,
Conjure Barrage,Action,,,Deal your weapon dmg in a 3m cone AOE,Increase range by 3m/level,,X,,X,,
Contagion,Bonus,6 turns,CON,"Disadvantage on CON saves. If 0 turn remaining, target become vulnerable to all damage for one turn",Decrease duration by 1 turn/level,,X,,X,,
Counterspell,Reaction,,,Same rule as vanilla counterspell (If not same level or higher spell level was used ability check 10+ spell level). Dangerous and Fatal foes cannot be countered,Counter higher level spells,,,X,,X,
Create or Destroy Water,Bonus,,,Create some water or destroy a water based surface. ,Increase AOE by 3m/level,X,X,,,,
Crown of Madness,Action,3 turns,WIS,"The target humanoid attack the closest target, friend or foe. Save at the end of each turn",Select +1 target/level,,,X,X,,
Crusader's Mantle,Bonus (C),Until Long Rest,,"Deal +2 radiant OR necrotic dmg whenever you deal damage (weapons, cantrips, spells, ...)",Deal +2 dmg/level,X,X,,,,
Cure Wounds,Action,,,"Heal 1d12+8, melee range",Heal 1d12+8/level,X,X,,,,
Darkness,Bonus (C),Permanent,,"Create a zone of darkness, 3m AOE",Increase AOE by 3m/level,,X,,X,,
Darkvision,Bonus,Until Long Rest,,Grant Darkvision to a creature,Select +1 target/level,,X,X,,,
Daylight,Bonus,Until Long Rest,,Makes 18m AOE light which dispel darkness magical or not.,No upcasting,X,X,,,,
Death Ward,Bonus,3 turns,,"The next time target is reduced to 0 hit point, they remain conscious with 1 HP",Select +1 target/level,X,,,,X,
Destructive Wave,Action,1 turn,CON,Deal 1d12+4 thunder dmg in a 3m AOE around you and knock prone on failed save. On Save: half damage,Deal 1d12+4 dmg/level,,,X,,X,
Detect Thoughts,Bonus,Until Long Rest,,Can Read Thoughts,No upcasting,,,X,,X,
Dimension Door,Action,,,Teleport yourself and an ally within 3m to a place you can see. Ally cannot be bigger than medium size.,Increase range by 3m/level,,,X,,X,
Disintegrate,Action,,DEX,"Deal 1d12+12 force damage, range 18m. On save, you take half of the dmg",Deal 1d12+12 dmg/level,,,X,X,,
Dispel Evil and Good,Action (C),Until Long Rest,,"Selected target is protected and aberrations, undeads, celestials, elementals, feys and fiends have disadvantage against them. Selected creature can also dispel Charm, Frighten and Possess on allies",Select +1 target/level,X,,,X,,
Dispel Magic,Bonus,3 turns,No save,Silence everyone in a 3m AOE,Increase AOE by 3m/level,,,X,,X,
Dissonant Whispers,Action,1 turn,WIS,Deal 1d12+4 psychic and frighten the target on failed save,Deal 1d12+4 dmg/level,,,X,X,,
Divine Favor,Bonus,3 turns,,Target creature deal +1d4 radiant dmg with every weapon attacks,Select +1 target/level,X,,,X,,
Divine Strike,Action,,DEX,Deal 1d6+4 radiant dmg in a large AOE and inflicts 3 stacks of Radiating Orbs on targets,Deal 1d6+4 dmg/level,X,,,X,,
Dominate,Action (C),Until Long Rest,WIS,Dominate a creature. Creature break free the first time they take dmg from you or your allies.,No upcasting,,,X,X,,
Earth Tremor,Action,Permanent,DEX,"Deal 1d12+4 bludgeoning dmg in a 3m AOE around you, knock targets prone on failed save, and create difficult terrain On Save: half damage",Deal 1d12+4 dmg/lvl,,X,,,X,
Elemental Weapon,Bonus,Until Long Rest,,"Target deals +2 dmg of an element of your choice with weapon attacks.  If you drop both weapons on the ground and cast the spell at level 2, you can target two weapons. Useful if you dual wield. Spells and Cantrips that improves weapons can't stack with each others.",target +1 weapon/level,,X,X,,,
Enhance Ability,Bonus (C),Permanent,,advantage on saving throws of chosen ability and +2 to that stats,Select +1 target/level,X,X,,,,
Enhanced Leap,Bonus,3 turns,,Double the jump distance of all targets in a 3m AOE. While active Jimping will not cost bonus action.,Increase AOE by 3m/level,,X,,,X,
Enlarge/Reduce,Bonus,3 turns,CON,Make a target bigger or smaller (impact dmg and saving throws),Select +1 target/level,,,X,,X,
Ensnaring Strike,Action,3 turns,STR,"Attack a target and Ensnare them (1d6 piercing dmg/round and can't move, save at the end of each turn) on failed save",Ensnared deal 1d6+4 dmg/level,,X,,X,,
Ensnaring Trap,Bonus,Until Long Rest,DEX,Place 3 traps. Restrain targets on failed save.,Create +3 traps/level,,X,,X,,
Entangle,Action (C),Permanent,STR,"Create a 3m AOE surface, entangle creatures inside on failed save",Increase AOE by 3m/level,,X,X,,,
Enthrall,Bonus,Until Long Rest,,Target ignore peripheral vision on failed save. Can be cast while hidden,Select +1 target/level,,,X,,X,
Erupting Earth,Action,Permanent,CON,Deal 1d6+4 bludgeoning dmg in a 3m AOE and create difficult terrain,Deal 1d6+4 dmg/level,,X,X,,,
Evard's Black Tentacles,Action (C),Permanent,STR,"Create a 2m AOE surface of difficult terrain, Restraining creatures inside on failed save",Increase AOE by 2m/level,,,X,X,,
Expeditious Retreat,Bonus,3 turn,,Target gain the effect of Dash and Disengage for 3 turns,Select +1 target/level,,,,X,X,
Eyebite,Bonus,1 turn,WIS,"Target sleep for 1 round on failed save, 18m range",Select +1 target/level,,,X,X,,
Faerie Fire,Action,3 turns,DEX,"All creatures inside a 2m AOE are revealed, you have advantage against them (on failed save)",Increase AOE by 2m/level,X,,X,,,
False Life,Bonus,Until Long Rest,,Increase your own max HP by 6 (not temporary HP!) until the end of your last combat encounter,Increase HP by 6/level,X,,,X,,
Fear,Action,1 turn,WIS,Creatures in a 3m AOE cone flee in terror on failed save,Increase AOE by 3m/level,,,X,X,,
Featherfall,Bonus,3 turns,,Grant all allies in a 3m radius immunity to fall dmg.,Increase AOE by 3m/level,X,,,,X,
Feign Death,Bonus (C),Until Long Rest,WIS,Target allies in 3m AOE are put to sleep but become resistant to all damage,Increase AOE by 3m/level,X,,X,,,
Feline Bombardment,Bonus,Until Long Rest,,"When you land a killing blow, summon a cat. The cat explode for 1d12 fire dmg in a 3m AOE when killed. It takes dmg each round.",Increase dmg by 1d12/level,,X,X,,,
Find Familiar,Bonus,Until Long Rest,,"Summon 2 familiars. They all have small effects on attacks (Blind, ...)",Create 2 more familiars/level,,X,,,X,
Fire Shield,Bonus,3 turns,,You become resistant to Cold dmg and deal 1d6 fire dmg when someone attack you in melee range (even if they miss),Deal 1d6 dmg/level,,,X,X,,
Fireball,Action,3 turns,DEX,Deal 1d6+4 fire dmg in a large AOE and burn targets until Helped on failed save On Save: Half damage,Deal 1d6+4 dmg/level,,,X,,X,
Flame Arrows,Bonus,Until Long Rest,,Create 6 flaming arrows. They deal +1d4 fire dmg per ranged attack. On short rest restoration.,Create +6 arrows/level,,X,,X,,
Flaming Armament,Bonus,3 turns,,"All weapons in a 3m radius around the caster deal +2 fire damage on hit. If dual wielding, affect both weapons. Spells and Cantrips that improves weapons can't stack with each others.",Deal +2 dmg/level,,,X,X,,
Flaming Sphere,Bonus (C),Until Long Rest,DEX,Create a flaming sphere doing 1d6 fire dmg/round On Save: half damage,Deal 1d6 dmg/level,,X,X,,,
Flesh to Stone,Bonus,6 turns,CON,"At the end of each turn, target make a save. After 6 turns, become petrified permanently. Your target has disadvantage on DEX save.",Reduce duration by 1 turn/level,,,X,X,,
Fog Cloud,Bonus (C),Permanent,,"Create a fog cloud, which blind and obscure creatures inside. 2m AOE.",Increase AOE by 2m/level,,X,,,X,
Freedom of Movement,Bonus,3 turns,,Snap an ally our of any stun. Target ignore difficult terrain and can't be paralysed or restrained,Select +1 target/level,,X,,,X,
Frost Fingers,Action,3 turns,No save,"Deal 1d12+8 cold dmg (melee range) and if target is Wet, apply 3 stacks of Frostbite and roll an additional dice",Deal 1d12+8 dmg/level,,,,X,X,
Frostflame Armaments,Bonus,3 turns,,"When you deal a killing blow with a weapon, deal 1d12 fire dmg and 1d12 cold dmg to Enemies in a 3m AOE",Deal 1d12 cold and 1d12 fire dmg/level,X,,,X,,
Globe of Resistance,Action,1 turn,,Create a barrier. Everyone inside is Resistant to all damage,Increase duration by +1 turn/level,X,,,,X,
Goodberry,Bonus,Until Long Rest,,Create 4 berries in a target inventory. They heal for 1d12*prof each. Disappear after long rest,Select +1 target/level,X,X,,,,
Grant Flight,Bonus,3 Turn,,Target creature can fly,Select +1 target/level,,X,X,,,
Grasping Vine,Bonus,3 turns,STR,Summon a vine. It can dragg creatures toward itself,Summon +1 vine/level,,X,,X,,
Grease,Bonus,Permanent,DEX (partial),Create a 2m AOE surface slowing creatures (no save) and knocking them prone on failed save,Increase AOE by 2m/level,,,X,,X,
Great Cleanse,Bonus,,,"Cure Charm, Petrification, Polymorph or Curse (18m range) on target",Select +1 target/level,X,X,,,,
Greater Invisibility,Bonus,1 turn/level,,"Target creature is invisible and can act without breaking it. When doing most action, must pass increasingly difficult stealth check or spell will end",Increase duration by 1 turn/level,,,,X,X,
Guardian of Faith,Action,Until Long Rest,,"Create an immobile guardian with 50 HP. Every time it attacks, it loses the same amount of HP (12 per hit).",Increase Guardian attack range by 3m/level,X,,,X,,
Guiding Bolt,Action,,,"Deal 1d12+4 radiant damage on target , 18m range. Deal double damage to fey, fiends and undeads",Deal 1d12+4 dmg/level,X,,,X,,
Guiding Ceremony,Bonus (C),Until Long Rest,,All allies in a 9m AOE have +1d4 to all ability checks,Increase dice size,X,X,,,,
Gust of Wind,Bonus,3 turn,,"Clear all clouds and push back all targets around you 3m, inflicting Prone with no save",Increase pushback by 3m/level,,X,,,X,
Hail of Thorns,Action,,DEX,Deal weapon dmg +1d6+4 piercing dmg to all creatures within 3m of the target,Deal 1d6+4 dmg/level,,X,,X,,
Harm,Action,,CON,1d12 +4 dmg 18m range On Save: half damage. Heal Undead creatures,Extra ray/level,X,X,,,,
Haste,Bonus,3 turn,,Target creature become hastened. Hastened actions generate Exhaustion. Exhaustion is also generated by damage and passively at start of each turn. All attack rolls are rolled advantage againts Exhausted target. At ten stack of exhaustion target immediately fall unconscious.,Select +1 target/level,X,X,,,,
Healing Glyph,Bonus (C),Until Long Rest,,Heal 1d12+4 on target when concentration is broken,Heal 1d12+4/level,X,X,,,,
Healing Spirit,Bonus (C),Until Long Rest,,Summon a familiar. It can heal an ally for 1d12 once/turn,Heal 1d12/level,X,X,,,,
Healing Word,Bonus,,,"Heal 1d6+4, 18m range",Heal 1d6+4/level,X,X,,,,
Heat Metal,Action,,,"Deal 1d6+4 fire dmg on target, 18m range. Deal +1d6+4 dmg for each piece of metal equipment",Deal 1d6+4 dmg/level,,,X,X,,
Hellish Rebuke,Reaction,,DEX,"Deal 1D12+4 fire dmg, reaction on attack",Deal 1d12+4 dmg/level,X,,,X,,
Heroes Feast,Bonus,Until Long Rest,,Summon some camp supplies,No upcasting,X,X,,,,
Heroism,Action,3 turns,,Target creature gain 4 temporary HP each turn and can't be Frightened,Gain +4 HP/level,X,,,X,,
Hex,Action,3 turns,No save,Target creature has Disadvantage on Saving Throws for an ability of your choosing,Select +1 target/level,X,,,X,,
Hold Creature,Action,1 turn,WIS,Target creature can't act on failed save. Attacks made against them within 3m will always be critical hit. Target breaks free after 1 attack.,Select +1 target/level,X,,X,,,
Hunger of Hadar,Action (C),Until Long Rest,DEX,"Create a large AOE blinding creatures inside. They take 1d6 cold damage on failed save when they start their turn inside, they take 1d6 acid damage on failed save when ending their turn inside",Deal 1d6 cold and 1d6 acid/level,,,,X,X,
Hunter's Mark,Bonus,3 turns,No save,"When damaging the target with your weapon, roll your damage dice with advantage",Select +1 target/level,,X,,X,,
Hypnotic Pattern,Action (C),Until Long Rest,WIS,Target creature can't move or notice your presence on failed save,Select +1 target/level,,,X,,X,
Ice Knife,Action,,DEX,Deal 1d12+4 cold damage.On hit another projectile will spawn from target which seeks out another enemy within 9m. Splinter will do 5-10 cold damage. On Save: half damage,Deal 1d12+4 dmg(splinter 1d6+4)/level,,,X,,X,
Ice Storm,Action (C),Until Long Rest,DEX,"Deal 1d6+4 cold damage in a 3m AOE. Create an icy surface and apply 3 turns of Frigid. On Save: half damage. Every subsequent turn while you maintain concentration, you can recast the spell as a free action.",Deal 1d6+4 dmg/level,,,,X,X,
Inflict Wounds,Action,1 turn,No save,Deal 1d12+4 poison damage on hit (melee range) and Cripple target (no save),Deal 1d12+4 dmg/level,X,,,X,,
Insect Plague,Action (C),,CON,"Locusts attack everyone within 18m, Bleed and Gaping Wound on a failed save until healed",No upcasting,,X,,X,,
Internal Fortress,Bonus,3 turns,,Target creature gain 1 Physical Damage Reduction,Gain +1 DR/level and select +1 target/level,,,X,,X,
Invisibility,Bonus (C),Until Long Rest,,Target become Invisible,Select +1 target/level,,,X,,X,
Kinetic Permeation,Bonus,Until Long Rest,,All creatures in a 3m AOE become Permeable (can be moved through),Increase AOE by 3m/level,,,X,,X,
Knock,Bonus,,,Unlock an object,Select +1 target/level,,,X,,X,
Latent Restoration,Bonus,,,"Cure a creature from any disease, poison, paralysis, intoxication or blindness",Select +1 target/level,X,X,,,,
Lightning Arrow,Action,,DEX,"Deal 1d6+4 lightning dmg in a small AOE, 18m range. Gain a stack of Lightning Charge for every target you damage",Deal 1d6+4 dmg/level,,X,,X,,
Lightning Bolt,Action,,DEX,Deal 1d6+4 lightning damage in a huge line On Save: half damage,Deal 1d6+4 dmg/level,,,X,,X,
Longstrider,Bonus ,3 turns,,All allies in a 3m AOE have +9m Movement speed,Increase AOE by 3m/level,,X,,,X,
Mage Armour,Bonus (C),Until Long Rest,,Target gain a flat AC bonus equal to 1 per level.,Select +1 target/level and +1 AC/level,,,X,,X,
Magic Missile,Action,,,"Shoot 3 darts, each dealing 1d4 force damage. Auto hit.",Each dart deals + 1d4 force damage,,,X,,X,
Magic Weapon,Bonus,Until Long Rest,,Target weapon receive +2 dmg and attack rolls. Spells and Cantrips that improves weapons can't stack with each others.,Select +1 target/level,,,X,,X,
Mass Cure Wounds,Action,,,Heal 1d12+4 in a 3m AOE around you,Increase AOE by 3m/level and heal by 1d12/level,X,X,,,,
Mass Healing Word,Bonus,,,Heal 1d6+4 in a 9m AOE around you,Increase AOE by 3m and heal by 1d6/level,X,X,,,,
Maximilian's Earthen Grasp,Action,3 turns,STR,Deal 1d12+4 bludgeoning dmg and Restrain target on save On Save: half damage,Deal 1d12+4/level,,X,X,,,
Melf's Acid Arrow,Action,3 turns,,"Deal 1d12+4 acid dmg on hit, and 1d12+4 acid dmg 3 turns later",Deal +1d12+4 dmg/level (both),,,X,X,,
Melf's Minute Meterors,Bonus,Until Long Rest,Dex,Summon 6 meteors. You can throw them for 1d12+4 fire dmg in a small AOE (1.5m) On short rest meteors are restored back.,Summon +6 meteor/level,,,X,,X,
Mind Spike,Action (C),Until Long Rest,INT,"Deal 1d12+4 psychic dmg. Every round, you can deal the same amount of damage.",Deal 1d12+4 dmg/level,,,,X,X,
Mirror Image,Action,3 turns,,"Increase AC by 6. Each time you evade a hit, decrease AC by 2.",No upcasting,,,X,,X,
Misty Step,Bonus,,,Teleport 18m,No upcasting,,,,X,X,
Moonbeam,Action,3 turns,CON,Deal 1D12 radiant damage to any creature in a 3m AOE. Can move the AOE each turn with bonus action,Deal 1d12 dmg/level,,X,,X,,
Nathair's Mischief,Bonus,1 turn,No save,Target experience a Wild Magic effect at the start of each turn,Select +1 target/level,,,,X,X,
Otiluke Freezing Sphere,Action,1 turn,,Freeze a creature solid,,,,X,X,,
Otiluke Resilient Sphere,Action (C),Until Long Rest,DEX,"Enclose a target in a sphere, make it invulnerable but unable to deal agressive actions. Save each round. Reduce movement speed by half. 3m range. Target cannot be huge size.",Increase range by 3m/level,X,,,,X,
Otto's Irresistible Dance,Action,3 turns,WIS,Target can't act and attackers have Advantage against them. Spell will transfer to the attacker when target takes damage,Select +1 target/level,,,,X,X,
Pass Without Trace,Bonus,3 turns,,Target get a +20 bonus to Stealth checks,Select +1 target/level,X,,,X,,
Phantasmal Force ,Action (C),Until Long Rest,INT,Deal 1d12 dmg/round each round on failed save. Damage changes to last type target suffered.,Select +1 target/level,,,,X,X,
Phantasmal Killer,Action,3 turns,WIS,"Deal 1d6 psychic dmg each turn, target movement is halved. Save at the end of each round",Deal 1d6 dmg/level,,,,X,X,
Plant Growth,Action,Permanent,,Create a 3m AOE surface of very difficult terrain (Movement speed quartered),Increase AOE by 3m/level,,X,,X,,
Polymorph,Action,3 turns,WIS,"Transform a creature into a harmless sheep. If health drop to 0, it transforms back",Select +1 target/level,,X,X,,,
Power over evil and good,Bonus (C),Until Long Rest,,"When attacking Undeads, Abberations, Celestials, Elemental, Feys, Fiends you roll both damage and attack roll with advantage.",Select +1 target/level,X,X,,,,
Prayer of Healing,Action,,,"Outside of combat, heal all allies for 12 9m AOE",Heal for 12/level,X,X,,,,
Psionic Antagonism,Action,1 turn,WIS,Deal 1d6+4 psychic dmg in a large AOE and prevents reaction on failed save On Save: half damage,Deal 1d6+4 dmg/level,,,,X,X,
Ray of Enfeeblement,Action,3 turns,No save,"On hit, target creature deal half damage with all weapon attacks. ",Select +1 target/level,,,,X,X,
Ray of Sickness,Action,1 turn,CON,"Deal 1d12+4 poison dmg, 18m range, and poison target on failed save",additional ray/level,,X,,X,,
Remediation,Bonus,,,Remove all Curses and Hexes on target,Select +1 target/level,X,,X,,,
Revivify,Action,,,"Revive a dead companion with 1 HP, 3m range",Increase range by 3m/level,X,X,,,,
Rime's Binding Ice,Action,1 turn,CON,"Deal 1d6+4 cold damage in a large area, and reduce movement speed by half on failed save",Deal 1d6+4 dmg/level,,,X,X,,
Sanctuary,Bonus,3 turns,,Target can't be targeted. End if target harm another creature or attack,Select +1 target/level,X,X,,,,
Scorching Ray,Action,,,"Shoot 1 rays,  dealing 1d12+4 fire damage on hit. Gain 3 stack of Heat for every target you hit",Shoot 1 more rays/level,,,,X,X,
See Invisibility,Bonus,Until Long Rest,DEX,Reveal invisible tragets around you if they fail a DEX save,Select +1 target/level,X,,X,,,
Shadow Blade,Bonus,Until Long Rest,,"Illusion Blade 1d12 Psychic damage. In Heavily Obscured area, deal max damage. All attacks roll with advantage",,,,,,,
Shatter,Action,1 turn,CON,"Deal 1d6+4 thunder damage in a large AOE around you, and silence targets on failed save",Deal 1d6+4 dmg/level,,,X,X,,
Shield,Reaction,1 turn,,Increase AC by 4 for this turn and become immune to Force dmg,No upcasting,,,,X,X,
Shield of Faith,Bonus,3 turns,,Increase target's AC by 2,Select +1 target/level,X,,,,X,
Silence,Action (C),Until Long Rest,,"Create an area silencing everyone inside, and making them immune to Thunder dmg",Increase AOE by 3m/level,X,,X,,,
Sleepveil,Bonus,1 turn,WIS,Every creature in a 3m AOE around you are put to sleep on failed save,Increase AOE by 3m/level,,X,X,,,
Sleet Storm,Bonus (C),Until Long Rest,CON,Disrupt concentration on failed save in huge area. Douses fires,No upcasting,,X,X,,,
Slow,Action,3 turns,WIS,"Targets in a wild AOE have Half movement speed, -2 to AC, cannot use reactions or make more than 1 attack per turn and Disadvantage on DEX Saves.",Select +1 target/level,X,,X,,,
Snilloc's Snow Storm,Action,,CON,"Deal 1d12+4 cold damage in a 3m area around you. If target is Wet, apply 3 stacks of Frostbite. On Save: half damage",Deal 1d12+4 dmg/level,,X,X,,,
Speak with Animals,Bonus,Until Long Rest,,Speak with animals,No upcasting,,X,,X,,
Speak with Dead,Bonus,Until Long Rest,,Speak with dead,No upcasting,X,,,X,,
Spew Acid,Action,1 turn,DEX,"Deal 1d12+4 acid damage in a 3m cone AOE in front of you, and afflicts targets with Acid  (-2 AC) on failed save",Deal 1d12+4 dmg/level,,,X,,X,
Spike Growth,Action (C),Permanent,No save,"Create a 3m AOE surface of spikes. Everyone passing by takes 1d12 piercing dmg by 1,5m it moves",Increase AOE by 3m/level,,X,,X,,
Spirit Guardians,Action (C),Until Long Rest,WIS,Deal 1d12 radiant OR necrotic damage to every enemies around you when you end your turn and they are inside the area,Deal 1d12 dmg/level,X,,,X,,
Spiritual Shroud,Bonus (C),Until Long Rest,,Deal 1d12 cold damage to anyone missing you (melee or ranged),Deal 1d12 dmg/level,X,,,X,,
Spiritual Weapon,Bonus (C),Until Long Rest,,Summon a weapon dealing 1d12 force damage on hit,Summon +1 weapon/level,X,,,,X,
Stoneskin,Action,3 turns,,Target becomes Resistant to all Physical damage,Select +1 target/level,,X,,,X,
Sunbeam,Action,1 turn,CON,Deal 1d6+4 radiant damage in a line and blind all targets on save fail. Can cast the spell again (weakened) without expending a spell slot (free action) On Save: half damage,Deal 1d6+4 dmg/level,X,X,,,,
Tasha's Caustic Brew,Action,,DEX,Deal 1d6+4 Acid damage in a large line and apply acid for 3 turns. On Save: half damage,Deal 1d6+4 dmg/level,,,,X,X,
Tasha's Hideous Laughter,Action,1 turn/level,WIS,Target creature is prone and can't act. Save at the end of each turn. Laughter targets now attempt a save when taking damage.,Increase duration by 1 turn/level,,,,X,X,
Telekinesis,Bonus,,STR,Throw a creature or object up to 18m. Range to target is 3m.,Increase targetting range by 3m/level,,,X,,X,
Thunder Step,Action,,CON,Teleport up to 18m and deal 1d6+4 Thunder damage in a small AOE when you appears,Deal 1d6+4 dmg/level,,,X,X,,
Thunderwave,Action,3 turns,CON,"Deal 1d12+4 in a 3m cone AOE, Inflicts Reverberate and push back targets 9m on failed save. On Save half damage",Deal 1d12+4 dmg/level,,,X,,X,
Transposition,Bonus,,CHA,Forcibly teleport another creature to an area you can see on failed save,No upcasting,X,,X,,,
Unseen Servant,Bonus,Until Long Rest,,Summon an invisible servant. Can interact with the environment,No upcasting,X,,,,X,
Vampiric Touch,Action,,,"On melee hit, deal 1d12+4 necrotic damage and regain half as many HP",Deal 1d12+4 dmg/level,X,,,X,,
Vitriolic Touch,Action,3 turns,No save,"On melee hit, deal 1d12 +4 acid damage and lower AC by 2",Deal 1d12+4 dmg/level,X,,X,,,
Wall of Fire,Action,3 turns,DEX,Deal 1d12 fire damage inside the wall On Save: half damage,"Deal 1d12 dmg/level, +1.5m/level",,,X,,X,
Wall of Ice,Action,3 turns,No save,9m AOE Wall of ice which Freezes creatures within for 1 turn,Wall increases by 1.5m/level,X,,X,,,
Wall of Stone,Action,3 turns,,Raise a wall of solid stone,Wall increases by 1.5m/level,,X,,,X,
Wall of Thorns,Action,3 turns,No save,Raise a wall of thorns. Creatures passing by the wall are Off-Balanced and Movement Speed is quartered,Wall increases by 1.5m/level,,X,,,X,
Ward of Vitality,Bonus,3 turns,,Target gains Advantage on all Saving Throws,Select +1 target/level,X,X,,,,
Warding Bond,Bonus (C),Until Long Rest,,"Target gain Resistance to ALL damage. When the ally takes damage, you take the same amount",Select +1 target/level,X,X,,,,
